LLDurrDLdLdlluuuRRDrrrdLullulldddrrdrrUUruLuLLdDDuRluurrdLdldlluuuRRDDurrrdLLululldRRllddrUluurrdRdrruLuLrddddldllUdrruruuuulLdRdrddldlluUluuRRurrDDuulldRlllddrUdddrruLdlUUluuRDuRurrDLdLDDuuruulDllddRluuuRdlddrUluurRdrdLurrrdLullulldddrdrrrUULrruLuLLdRdrddllluluuRRllddrUddrrruulLDlluuuRldddrdRulluRluurDrDullddrUddrR
Moves: 317
Pushes: 78
States created total: 751,001
Unique visited total: 163,469
Reached duplicates total: 586,672
Created but not reached total: 860

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             2              2              0              0
2:             5              5              0              0
3:             14             11             3              0
4:             26             17             9              0
5:             55             34             21             0
6:             152            101            51             0
7:             481            303            178            0
8:             1,394          780            614            0
9:             3,389          1,624          1,765          0
10:            6,778          2,823          3,955          0
11:            11,634         4,306          7,328          0
12:            18,019         5,922          12,097         0
13:            25,790         7,481          18,309         0
14:            32,829         8,301          24,528         0
15:            36,507         8,499          28,008         0
16:            35,756         7,825          27,931         0
17:            32,484         6,907          25,577         0
18:            27,434         5,600          21,834         0
19:            22,794         4,643          18,151         0
20:            18,305         3,688          14,617         0
21:            15,184         3,343          11,841         0
22:            13,793         3,207          10,586         0
23:            14,330         3,356          10,974         0
24:            15,012         3,378          11,634         0
25:            15,654         3,436          12,218         0
26:            15,914         3,364          12,550         0
27:            15,757         3,164          12,593         0
28:            14,403         2,811          11,592         0
29:            12,943         2,477          10,466         0
30:            11,071         2,248          8,823          0
31:            10,288         2,075          8,213          0
32:            9,400          1,789          7,611          0
33:            7,952          1,517          6,435          0
34:            6,457          1,311          5,146          0
35:            5,542          1,233          4,309          0
36:            5,337          1,205          4,132          0
37:            5,558          1,202          4,356          0
38:            5,666          1,206          4,460          0
39:            5,644          1,188          4,456          0
40:            5,491          1,077          4,414          0
41:            5,016          969            4,047          0
42:            4,378          983            3,395          0
43:            4,448          1,172          3,276          0
44:            5,435          1,507          3,928          0
45:            7,165          1,937          5,228          0
46:            9,370          2,544          6,826          0
47:            12,852         3,297          9,555          0
48:            17,553         4,146          13,407         0
49:            22,581         4,681          17,900         0
50:            25,557         4,578          20,979         0
51:            24,493         3,758          20,735         0
52:            19,655         2,676          16,979         0
53:            13,680         1,812          11,868         0
54:            9,228          1,309          7,919          0
55:            6,581          1,107          5,474          0
56:            5,624          1,015          4,609          0
57:            5,073          1,065          4,008          0
58:            5,370          1,239          4,131          0
59:            6,492          1,353          5,139          0
60:            7,192          1,372          5,820          0
61:            7,333          1,379          5,954          0
62:            7,367          1,285          6,082          0
63:            7,097          1,170          5,927          0
64:            6,508          955            5,553          0
65:            5,248          671            4,577          0
66:            3,709          443            3,266          0
67:            2,395          302            2,093          0
68:            1,567          251            1,316          0
69:            1,338          216            1,122          0
70:            1,130          211            914            5
71:            1,095          216            867            12
72:            1,155          175            925            55
73:            945            128            624            193
74:            678            61             332            285
75:            314            17             99             198
76:            87             6              13             68
77:            31             2              0              29
78:            16             1              0              15

########
