dlUrdddLULLdRuluUddrrruulDuLrrddLLruuluurDDrddlldllluuRuuRRdrrdddLLurruullullddlddrURRdrruuullulldDlddrRRllluRuuurrdLulDDlddrUdrruLUUrrrddLrdLuruullldddlluuRurrrrdddlLruLrruulDrddlluRuuluurDDllluRdldlddrURUdRdrrULdlLuuUrrrDullldddrruUruLdddlluuulDrddrruuuLruulDrddddlluullddRluuruuRlddrdLuuurDlddrRdrrULuuLLDlddRRlluururruulDrdLullDurrrdrDulullldDuurrdLulD
Moves: 356
Pushes: 75
States created total: 1,800,420
Unique visited total: 417,990
Reached duplicates total: 1,378,587
Created but not reached total: 3,843

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             2              2              0              0
2:             5              5              0              0
3:             14             11             3              0
4:             30             24             6              0
5:             93             69             24             0
6:             280            195            85             0
7:             831            508            323            0
8:             2,162          1,126          1,036          0
9:             4,914          2,251          2,663          0
10:            9,757          3,943          5,814          0
11:            17,217         6,322          10,895         0
12:            27,267         9,109          18,158         0
13:            38,989         11,901         27,088         0
14:            49,407         13,624         35,783         0
15:            55,569         14,327         41,242         0
16:            56,547         14,057         42,490         0
17:            55,570         14,240         41,330         0
18:            56,772         15,403         41,369         0
19:            63,873         17,546         46,327         0
20:            73,070         19,505         53,565         0
21:            82,758         21,530         61,228         0
22:            90,610         22,864         67,746         0
23:            96,052         22,892         73,160         0
24:            94,134         21,034         73,100         0
25:            85,370         18,184         67,186         0
26:            73,816         15,542         58,274         0
27:            63,604         13,691         49,913         0
28:            56,970         12,445         44,525         0
29:            52,988         11,677         41,311         0
30:            50,522         11,318         39,204         0
31:            50,256         11,430         38,826         0
32:            51,639         11,504         40,135         0
33:            52,691         10,879         41,812         0
34:            49,757         9,490          40,267         0
35:            44,144         7,937          36,207         0
36:            38,050         6,460          31,590         0
37:            32,174         5,316          26,858         0
38:            26,535         4,319          22,216         0
39:            21,703         3,462          18,241         0
40:            16,898         2,858          14,040         0
41:            13,420         2,364          11,056         0
42:            11,011         1,959          9,052          0
43:            9,233          1,631          7,602          0
44:            7,866          1,497          6,369          0
45:            7,275          1,521          5,754          0
46:            7,511          1,593          5,918          0
47:            7,976          1,775          6,201          0
48:            8,970          2,008          6,962          0
49:            10,356         2,160          8,196          0
50:            11,069         2,107          8,962          0
51:            10,663         1,782          8,881          0
52:            8,974          1,303          7,671          0
53:            6,598          969            5,629          0
54:            4,987          787            4,200          0
55:            3,925          644            3,281          0
56:            3,154          570            2,584          0
57:            2,809          522            2,253          34
58:            2,677          513            2,045          119
59:            2,733          549            2,048          136
60:            2,881          552            2,135          194
61:            2,757          542            1,915          300
62:            2,673          495            1,748          430
63:            2,470          380            1,556          534
64:            1,840          251            1,116          473
65:            1,173          148            641            384
66:            692            98             303            291
67:            457            70             163            224
68:            333            55             101            177
69:            274            47             80             147
70:            240            35             58             147
71:            163            26             33             104
72:            105            18             20             67
73:            70             11             13             46
74:            32             6              1              25
75:            12             1              0              11

########
####  ##
##    ##
## $$$@#
# * #  #
#...*$.#
#    * #
########

########
####  ##
