ullluuuLUllDDulldddrRRRRRluuulullddDuuurrdrdddrRRRlllluuululldlldddrRRlddrrrruurrrRRlllllluuulLrrdddrddlllluurRllddrrrruurrrrrdrUluRdllllllddlllluurrRRRRRRRRllllllluuululuurDldlDDDuulldddrRRlllulldRuruurrdddrRlluuuururDldldddrrRRlllluuullddldRuuurrdddrrrrRRRRRlllllluuuLrdddrrrrrrurDlllllllllluuulldddRluuurrurrdLulDrrrdddrrrrrrrRluRdlllllllluuullllldddrRRllluuurruruulDrddllldddrrrRRuuulllDurrrdddRluuullldDuurrrdddrRlluuuluullDDrrrdddrrRRlllluuullllldddrRddrrrruurrrRllllluuulllDulldddrrRRllddrrrruurrrrRRllllllddlllluurrRRRRRRllllluuullldDuurrrdddrrrrrRlllllluuullllldddrRRRllddrrrruurrrrrdRRlluurrDullddrUllllllddlllluurrRRRRRRRRluR
Moves: 636
Pushes: 97
States created total: 22,395,396
Unique visited total: 4,601,750
Reached duplicates total: 15,624,553
Created but not reached total: 2,169,093

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             3              3              0              0
2:             10             10             0              0
3:             32             26             6              0
4:             85             57             28             0
5:             203            137            65             1
6:             544            334            206            4
7:             1,449          686            744            19
8:             3,033          1,181          1,789          63
9:             5,196          1,768          3,217          211
10:            7,569          2,390          4,766          413
11:            9,989          3,093          6,358          538
12:            12,887         3,905          8,358          624
13:            16,550         4,935          10,939         676
14:            20,998         6,204          14,093         701
15:            27,012         7,798          18,499         715
16:            35,424         9,856          24,814         754
17:            47,225         12,533         33,729         963
18:            62,589         15,854         45,252         1,483
19:            81,355         19,875         59,092         2,388
20:            104,077        24,731         75,681         3,665
21:            131,460        30,177         95,685         5,598
22:            162,531        35,863         118,220        8,448
23:            194,094        41,470         140,789        11,835
24:            223,279        46,835         161,347        15,097
25:            247,700        51,890         178,081        17,729
26:            267,170        56,747         191,004        19,419
27:            283,953        61,790         202,411        19,752
28:            302,834        67,253         216,098        19,483
29:            326,062        73,090         233,707        19,265
30:            353,889        79,492         255,019        19,378
31:            387,795        86,816         281,028        19,951
32:            429,850        94,902         313,201        21,747
33:            479,210        103,271        350,782        25,157
34:            531,872        111,435        389,982        30,455
35:            584,311        119,070        427,780        37,461
36:            633,745        125,916        462,863        44,966
37:            680,242        132,172        495,708        52,362
38:            722,281        137,271        524,738        60,272
39:            752,509        140,206        543,228        69,075
40:            757,713        140,489        543,203        74,021
41:            740,776        139,224        528,060        73,492
42:            712,585        137,496        506,945        68,144
43:            685,084        135,799        486,619        62,666
44:            661,444        134,427        469,264        57,753
45:            644,740        133,624        457,679        53,437
46:            634,956        133,105        451,335        50,516
47:            632,043        132,319        449,501        50,223
48:            631,328        131,267        448,675        51,386
49:            631,433        129,449        447,434        54,550
50:            627,563        126,396        441,772        59,395
51:            616,971        122,473        430,502        63,996
52:            601,255        117,787        416,013        67,455
53:            579,771        112,284        397,864        69,623
54:            551,629        105,761        375,398        70,470
55:            515,085        98,481         346,833        69,771
56:            471,040        90,873         313,824        66,343
57:            423,122        83,357         279,439        60,326
58:            375,724        76,321         246,156        53,247
59:            332,685        70,045         216,263        46,377
60:            295,837        64,272         191,153        40,412
61:            265,925        59,036         171,487        35,402
62:            242,014        54,174         155,721        32,119
63:            222,030        49,504         141,664        30,862
64:            203,445        44,832         128,653        29,960
65:            185,609        40,238         116,018        29,353
66:            167,310        35,614         102,762        28,934
67:            148,355        31,174         89,257         27,924
68:            129,375        26,982         76,272         26,121
69:            111,188        23,100         63,881         24,207
70:            93,262         19,570         52,689         21,003
71:            76,674         16,523         42,725         17,426
72:            62,093         13,846         34,053         14,194
73:            49,377         11,557         26,560         11,260
74:            38,785         9,637          20,338         8,810
75:            30,503         8,040          15,410         7,053
76:            24,049         6,737          12,143         5,169
77:            19,838         5,644          9,935          4,259
78:            16,662         4,635          8,156          3,871
79:            13,880         3,732          6,592          3,556
80:            11,357         2,928          5,223          3,206
81:            9,019          2,240          3,931          2,848
82:            6,828          1,663          2,896          2,269
83:            4,952          1,202          2,017          1,733
84:            3,476          836            1,265          1,375
85:            2,251          609            797            845
