lldDlddRluurDldddrruLdlUUUddrrrrruullLLLLrruLLrruurrdDrdLLLLddrrULdlUUruLruurrrDDldLLdlUrrddrrruuLLLL
Moves: 101
Pushes: 32
States created total: 4,199,709
Unique visited total: 681,613
Reached duplicates total: 2,769,924
Created but not reached total: 748,172

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             0              0              0              0
2:             2              2              0              0
3:             1              1              0              0
4:             3              3              0              0
5:             0              0              0              0
6:             2              2              0              0
7:             2              1              1              0
8:             5              5              0              0
9:             3              3              0              0
10:            11             11             0              0
11:            9              9              0              0
12:            20             19             1              0
13:            23             22             1              0
14:            51             45             6              0
15:            59             52             7              0
16:            102            90             12             0
17:            137            116            21             0
18:            227            193            34             0
19:            277            222            55             0
20:            454            343            111            0
21:            562            400            162            0
22:            832            566            266            0
23:            1,045          650            395            0
24:            1,432          861            571            0
25:            1,736          944            792            0
26:            2,387          1,211          1,176          0
27:            2,648          1,180          1,468          0
28:            3,439          1,498          1,941          0
29:            3,656          1,381          2,275          0
30:            4,587          1,724          2,863          0
31:            4,618          1,602          3,016          0
32:            5,697          1,990          3,707          0
33:            5,682          1,926          3,756          0
34:            6,815          2,274          4,541          0
35:            6,790          2,365          4,425          0
36:            8,232          2,782          5,450          0
37:            8,269          2,951          5,318          0
38:            10,022         3,472          6,550          0
39:            10,404         3,604          6,800          0
40:            12,552         4,121          8,431          0
41:            13,091         4,145          8,946          0
42:            15,482         4,603          10,879         0
43:            15,915         4,529          11,386         0
44:            18,327         4,868          13,459         0
45:            18,664         4,793          13,871         0
46:            20,838         5,064          15,774         0
47:            21,081         4,862          16,219         0
48:            23,306         5,233          18,073         0
49:            22,745         5,110          17,635         0
50:            25,406         5,408          19,998         0
51:            24,267         5,413          18,854         0
52:            27,345         5,934          21,411         0
53:            26,181         6,030          20,151         0
54:            29,610         6,753          22,857         0
55:            28,993         6,875          22,118         0
56:            32,576         7,759          24,817         0
57:            32,486         7,858          24,628         0
58:            36,802         8,872          27,930         0
59:            36,886         9,154          27,732         0
60:            41,902         10,000         31,902         0
61:            42,699         10,743         31,956         0
62:            48,231         11,473         36,758         0
63:            49,746         12,562         37,184         0
64:            55,753         13,395         42,358         0
65:            58,462         14,736         43,726         0
66:            64,675         15,641         49,034         0
67:            68,711         16,963         51,748         0
68:            75,442         18,143         57,299         0
69:            80,348         19,191         61,157         0
70:            88,437         20,855         67,582         0
71:            92,230         21,084         71,146         0
72:            102,936        23,073         79,863         0
73:            104,682        22,523         82,156         3
74:            117,733        24,340         93,370         23
75:            117,016        23,082         93,854         80
76:            130,318        24,501         105,645        172
77:            127,770        22,793         104,466        511
78:            140,029        23,654         115,399        976
79:            134,871        21,763         111,119        1,989
80:            145,126        21,751         119,620        3,755
81:            137,900        19,792         111,817        6,291
82:            145,041        18,922         115,828        10,291
83:            136,544        17,360         104,404        14,780
84:            138,942        15,764         102,689        20,489
85:            129,295        14,167         88,363         26,765
86:            127,718        12,064         82,359         33,295
