lDDDDDlddrRlluuruuRUdlddRUdllddrrdrUlUdrruLdllluururrDulldDuurrdDLUdddrUruLulllddRRlluuruuurrDDuulldddlddrrUrrdLdlUlluurDuuuurrddLUrdDDLddrUluUddrruLulllddRRUdlluurDrruuullDDuurrdddlddrUruLuuullddlddRluurRllddrRlluurrUdllddrrUddrUruLdllluururrDulldDuurrdDrdLuLUrdddlUruulllddRRdrUlUdrruLdllluuruuuuurrDDuulldddddDuuuuuurrddLUrdDDLUrdDDLrrdLulUrdddlUruulllddRRUdlluurDrrrdLuuuullDurrdddddlUruuuulldDRllddRluurrUdllddrRUddrUruLdllluururrDulldDuurrdDLrrdLulUrdddlUruulllddRRlluurrruuuullDDuurrddddlllddrrUdlluurDrruuuuullddDDuuuurrdddddlddrUruLuuuuullddddlddRRlluuruuRlddlddrrdrUllluuruurUdlddRUdllddrrUdrruLdllluururrDulldDuurrdDLUdddrUluuluuurrDulldddrddrruLulllddRRlluuruuurrdDuulldddlddrrUrrdLdlUlluuruuurrddDDrdLuuuuulldddDuuuurrddddLruuLUrdddlUrdddlUruulllddRRUdlluurDrrrdLuuuullDDuurrdddddlUruuuullddlddRluurRllddrRlluurrUdllddrrUrrdLdlUlluururrDulldDuurrdDLUdddrUruLulllddRUluR
Moves: 882
Pushes: 167
States created total: 1,880,503
Unique visited total: 373,835
Reached duplicates total: 1,506,421
Created but not reached total: 247

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             2              2              0              0
2:             4              3              1              0
3:             8              6              2              0
4:             14             9              5              0
5:             34             22             12             0
6:             82             43             39             0
7:             197            103            94             0
8:             470            218            252            0
9:             1,059          470            589            0
10:            2,303          978            1,325          0
11:            4,938          2,009          2,929          0
12:            9,836          3,788          6,048          0
13:            18,097         6,481          11,616         0
14:            30,556         10,033         20,523         0
15:            47,751         14,145         33,606         0
16:            67,079         18,133         48,946         0
17:            85,569         20,986         64,583         0
18:            98,178         22,143         76,035         0
19:            103,515        21,663         81,852         0
20:            101,692        20,214         81,478         0
21:            94,815         18,016         76,799         0
22:            84,043         15,347         68,696         0
23:            72,086         12,815         59,271         0
24:            61,560         10,768         50,792         0
25:            53,178         9,143          44,035         0
26:            46,215         7,743          38,472         0
27:            40,159         6,669          33,490         0
28:            35,285         5,973          29,312         0
29:            31,805         5,557          26,248         0
30:            29,704         5,478          24,226         0
31:            29,422         5,687          23,735         0
32:            30,691         6,090          24,601         0
33:            32,661         6,475          26,186         0
34:            34,472         6,908          27,564         0
35:            36,505         7,379          29,126         0
36:            38,743         7,637          31,106         0
37:            39,831         7,539          32,292         0
38:            39,279         7,228          32,051         0
39:            38,032         6,856          31,176         0
40:            36,678         6,436          30,242         0
41:            35,026         5,956          29,070         0
42:            32,509         5,390          27,119         0
43:            28,994         4,834          24,160         0
44:            25,687         4,479          21,208         0
45:            23,477         4,102          19,375         0
46:            21,247         3,607          17,640         0
47:            18,791         3,023          15,768         0
48:            15,872         2,398          13,474         0
49:            12,735         1,812          10,923         0
50:            9,662          1,347          8,315          0
