uUURRlldddlluUddrruuurrDrddLLrruulDuullddRddlUlluuURRdDrdLurRlluullddRluuruulDrdrdDrruuLrddlllluluRddrrrruuluLDrrddlllluuuRldddrrrruullLrrrddlllluUddrrrddlUrururrdLdLLuRuullllddrRlluurrrrdddrUluullllddrrRllluurrrrdDrruuLLddlllluurrDullddrRRluuluulDrdrddrRlllluluRddrrrruuLuLDrrddlllluuuRldddrrrruullLrrrddlllluUrrDullddrRuuluulDrdrruLdddlluluRRlddrruUrrddLLrddlUUrruulllldddRluuurrrrrrddLLuulllluurDldRRRRluLdlluurDrrdrddrruLruLL
Moves: 429
Pushes: 74
States created total: 2,303,447
Unique visited total: 562,775
Reached duplicates total: 1,734,882
Created but not reached total: 5,790

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             5              5              0              0
2:             18             12             6              0
3:             45             26             19             0
4:             95             48             47             0
5:             169            84             85             0
6:             297            145            152            0
7:             489            243            246            0
8:             819            406            413            0
9:             1,362          656            706            0
10:            2,246          1,034          1,212          0
11:            3,645          1,576          2,069          0
12:            5,752          2,348          3,404          0
13:            8,980          3,442          5,538          0
14:            13,459         4,894          8,565          0
15:            19,568         6,695          12,873         0
16:            26,825         8,677          18,148         0
17:            35,154         10,693         24,461         0
18:            43,646         12,441         31,205         0
19:            52,081         13,798         38,283         0
20:            59,156         14,578         44,578         0
21:            64,339         14,772         49,567         0
22:            65,395         14,390         51,005         0
23:            62,451         13,653         48,798         0
24:            56,497         12,931         43,566         0
25:            51,584         12,946         38,638         0
26:            50,974         13,958         37,016         0
27:            55,339         15,657         39,682         0
28:            61,658         17,259         44,399         0
29:            66,775         18,053         48,722         0
30:            68,234         17,894         50,340         0
31:            66,998         17,014         49,984         0
32:            63,693         15,753         47,940         0
33:            60,151         14,538         45,613         0
34:            56,811         13,449         43,362         0
35:            53,446         12,333         41,113         0
36:            50,124         11,366         38,758         0
37:            47,537         10,632         36,905         0
38:            45,323         10,027         35,296         0
39:            43,099         9,432          33,667         0
40:            40,786         8,925          31,861         0
41:            38,601         8,497          30,104         0
42:            36,853         8,292          28,561         0
43:            35,994         8,435          27,559         0
