dRRUdlluRuRRuLulDrrrrdLddLLUlldRurURuLulldRDrruLulDrrrrdLddldlUUURurDulLulldRRRdlddlluRdrUUruLulldRurDrdrruLLLulldRDRRuLdlUrrrrdLLLddlluRdrUdrrU
Moves: 144
Pushes: 51
States created total: 16,652
Unique visited total: 4,850
Reached duplicates total: 11,629
Created but not reached total: 173

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             0              0              0              0
2:             1              1              0              0
3:             2              2              0              0
4:             2              2              0              0
5:             3              3              0              0
6:             3              3              0              0
7:             4              4              0              0
8:             7              4              3              0
9:             5              5              0              0
10:            7              6              1              0
11:            12             9              3              0
12:            16             12             4              0
13:            19             14             5              0
14:            27             17             10             0
15:            23             15             8              0
16:            33             19             14             0
17:            37             24             13             0
18:            59             40             19             0
19:            60             40             20             0
20:            70             47             23             0
21:            81             54             27             0
22:            102            68             34             0
23:            119            74             45             0
24:            152            73             79             0
25:            169            95             74             0
26:            195            97             98             0
27:            216            88             128            0
28:            245            103            142            0
29:            255            100            155            0
30:            257            112            145            0
31:            298            103            195            0
32:            304            118            186            0
33:            343            112            231            0
34:            291            93             198            0
35:            325            110            215            0
36:            311            97             214            0
37:            361            120            241            0
38:            324            93             231            0
39:            346            95             251            0
40:            338            93             245            0
41:            339            94             245            0
42:            301            79             222            0
43:            359            97             262            0
44:            296            84             212            0
45:            355            85             270            0
46:            261            72             189            0
47:            307            70             237            0
48:            283            77             206            0
49:            286            81             205            0
50:            258            72             186            0
51:            285            89             196            0
52:            264            68             196            0
53:            325            97             228            0
54:            272            57             215            0
55:            334            72             262            0
56:            260            53             207            0
57:            334            75             259            0
58:            227            52             175            0
59:            323            57             266            0
60:            244            53             191            0
61:            260            51             209            0
62:            224            53             171            0
63:            228            49             179            0
64:            194            39             155            0
65:            220            42             178            0
66:            174            29             145            0
67:            161            33             128            0
68:            127            22             105            0
69:            156            30             126            0
70:            95             18             77             0
71:            117            25             92             0
72:            101            15             86             0
73:            114            22             92             0
74:            73             16             57             0
75:            92             13             79             0
76:            60             16             44             0
77:            67             15             52             0
78:            50             11             39             0
79:            64             17             47             0
80:            37             8              29             0
81:            48             12             36             0
82:            31             13             18             0
83:            55             14             41             0
84:            46             17             29             0
85:            48             11             37             0
86:            38             12             26             0
87:            49             15             34             0
88:            45             11             34             0
89:            54             10             44             0
90:            44             14             30             0
91:            53             12             41             0
92:            54             13             41             0
93:            56             13             43             0
94:            48             12             36             0
95:            59             11             48             0
96:            35             12             23             0
97:            35             10             25             0
98:            42             14             28             0
99:            37             13             24             0
100:           48             18             30             0
101:           48             12             36             0
102:           55             22             33             0
103:           46             13             33             0
104:           52             17             35             0
105:           56             20             36             0
106:           49             10             39             0
107:           56             14             42             0
108:           46             7              39             0
109:           46             11             35             0
110:           40             7              33             0
111:           35             7              28             0
112:           34             4              30             0
113:           26             5              21             0
114:           33             6              27             0
115:           37             12             25             0
116:           27             6              21             0
117:           45             9              36             0
118:           25             7              18             0
