lDDrDDuuluurDDrddlLUUrrddddllUUdlluRRddrruLLrruuullDDRluurrdDlddlUUlldRRurruullDuruulDrdrddlUUddLdlluRRddrrULLuurrDullddrUllldRRurruulUlDDurrddlUdLdlluRRddrrULLrrUUlDuluurDD
Moves: 173
Pushes: 52
States created total: 93,469
Unique visited total: 22,498
Reached duplicates total: 70,344
Created but not reached total: 627

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             1              1              0              0
2:             1              1              0              0
3:             1              1              0              0
4:             1              1              0              0
5:             4              4              0              0
6:             2              2              0              0
7:             6              5              1              0
8:             3              3              0              0
9:             6              6              0              0
10:            8              6              2              0
11:            15             13             2              0
12:            17             14             3              0
13:            26             21             5              0
14:            39             27             12             0
15:            51             39             12             0
16:            72             55             17             0
17:            86             59             27             0
18:            138            89             49             0
19:            153            98             55             0
20:            236            130            106            0
21:            257            144            113            0
22:            287            129            158            0
23:            376            184            192            0
24:            388            144            244            0
25:            467            183            284            0
26:            462            155            307            0
27:            532            164            368            0
28:            517            182            335            0
29:            587            171            416            0
30:            614            237            377            0
31:            650            237            413            0
32:            762            302            460            0
33:            811            299            512            0
34:            854            326            528            0
35:            943            322            621            0
36:            1,032          374            658            0
37:            1,077          329            748            0
38:            1,156          378            778            0
39:            1,174          322            852            0
40:            1,301          369            932            0
41:            1,260          319            941            0
42:            1,426          350            1,076          0
43:            1,348          371            977            0
44:            1,455          343            1,112          0
45:            1,428          336            1,092          0
46:            1,393          319            1,074          0
47:            1,457          265            1,192          0
48:            1,403          303            1,100          0
49:            1,382          238            1,144          0
50:            1,326          256            1,070          0
51:            1,291          236            1,055          0
52:            1,162          196            966            0
53:            1,134          189            945            0
54:            975            149            826            0
55:            949            178            771            0
56:            782            167            615            0
57:            840            170            670            0
58:            714            196            518            0
59:            775            222            553            0
60:            711            240            471            0
61:            795            252            543            0
62:            744            229            515            0
63:            891            237            654            0
64:            750            200            550            0
65:            940            246            694            0
66:            839            199            640            0
67:            969            222            747            0
68:            782            188            594            0
69:            892            213            679            0
70:            727            191            536            0
71:            880            197            683            0
72:            687            180            507            0
73:            787            171            616            0
74:            672            173            499            0
75:            727            171            556            0
76:            653            168            485            0
77:            731            181            550            0
78:            626            140            486            0
79:            751            154            597            0
80:            561            110            451            0
81:            702            135            567            0
82:            537            90             447            0
83:            615            98             517            0
84:            457            74             383            0
85:            486            87             399            0
86:            396            80             316            0
87:            403            73             330            0
88:            348            68             280            0
89:            382            72             310            0
90:            306            52             254            0
91:            330            79             251            0
92:            272            57             215            0
93:            309            65             244            0
94:            293            82             211            0
95:            283            61             222            0
96:            280            68             212            0
97:            292            70             222            0
98:            295            79             216            0
99:            278            81             197            0
100:           335            95             240            0
101:           312            91             221            0
102:           387            116            271            0
103:           363            108            255            0
104:           471            139            332            0
105:           489            136            353            0
106:           558            170            388            0
107:           561            156            405            0
108:           660            180            480            0
109:           707            183            524            0
110:           712            203            509            0
111:           815            191            624            0
112:           785            218            567            0
113:           889            219            670            0
114:           917            259            658            0
115:           1,037          230            807            0
116:           966            267            699            0
117:           1,104          233            871            0
118:           1,024          282            742            0
119:           1,158          247            911            0
120:           1,090          255            835            0
121:           1,160          218            942            0
122:           1,086          189            897            0
123:           1,136          179            957            0
124:           1,010          138            872            0
125:           977            121            856            0
126:           821            83             738            0
127:           758            84             674            0
128:           599            77             522            0
129:           526            63             463            0
130:           436            68             368            0
131:           383            65             318            0
132:           351            68             283            0
133:           353            88             265            0
134:           350            81             269            0
135:           352            87             265            0
136:           366            87             279            0
137:           378            74             304            0
138:           400            76             324            0
139:           393            68             325            0
140:           380            55             325            0
141:           346            36             310            0
142:           315            24             291            0
143:           315            23             292            0
144:           270            17             253            0
145:           187            10             177            0
146:           168            17             151            0
