rDDDDDuuLrddLruulUrdddlDuUddlddrUrUruLullDDRddlUruUruuullDDuurrdddrdLdlUdlluRdrruuuuullddDuRUdldDuuurruuullDurrdddldlddRdrUlUdrruLdlluuurrDDrdLuLUrdddlUddlUruruuuuuulldDuurrdddddddllluRdrruuullDDRUddrUruLddldlUluRdrruuuuuuullddDDDDRluuuuRlddddrdrUlluuRluurUdlddrUdlddrUdrruLdlluuurrDDrdLdldlUrruuLUluuurrDulldddrrdddlUdlluRdrruuullDDRUrrdLdlUluuuuurrdDDuLrdDLdddlUruuruulUrdddlUdddrUruLddllluRdrruuullDDRUrrdLuuuullDurrdddddlUddlUluRdrruuuuulldDDuRldDRluurUdlddrUddrUruLdllldRuuuurrDDLUddlddrUrUruLullDDRlldRurUdlddrUrUruL
Moves: 522
Pushes: 121
States created total: 678,592
Unique visited total: 132,457
Reached duplicates total: 545,855
Created but not reached total: 280

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             2              2              0              0
2:             4              3              1              0
3:             8              6              2              0
4:             14             9              5              0
5:             34             22             12             0
6:             79             40             39             0
7:             168            85             83             0
8:             363            163            200            0
9:             772            334            438            0
10:            1,627          677            950            0
11:            3,459          1,387          2,072          0
12:            6,947          2,630          4,317          0
13:            13,082         4,556          8,526          0
14:            22,109         7,021          15,088         0
15:            34,226         9,718          24,508         0
16:            47,358         11,838         35,520         0
17:            57,823         12,504         45,319         0
18:            60,224         11,462         48,762         0
19:            54,696         9,633          45,063         0
20:            45,362         7,801          37,561         0
21:            36,925         6,120          30,805         0
22:            29,383         4,701          24,682         0
23:            23,282         3,680          19,602         0
24:            18,653         3,046          15,607         0
25:            15,890         2,616          13,274         0
26:            13,727         2,268          11,459         0
27:            12,243         2,015          10,228         0
28:            11,120         1,817          9,303          0
29:            10,246         1,664          8,582          0
30:            9,317          1,566          7,751          0
31:            8,462          1,496          6,966          0
32:            7,884          1,447          6,437          0
33:            7,621          1,409          6,212          0
34:            7,668          1,393          6,275          0
35:            7,971          1,328          6,643          0
36:            7,879          1,176          6,703          0
37:            7,092          963            6,129          0
38:            5,799          801            4,998          0
39:            4,901          749            4,152          0
40:            4,630          739            3,891          0
41:            4,553          712            3,841          0
42:            4,429          638            3,791          0
43:            3,996          516            3,480          0
44:            3,151          384            2,767          0
45:            2,281          281            2,000          0
46:            1,704          221            1,483          0
47:            1,473          200            1,273          0
48:            1,396          207            1,189          0
49:            1,438          225            1,213          0
50:            1,565          245            1,320          0
51:            1,734          284            1,450          0
52:            1,944          344            1,600          0
53:            2,226          403            1,823          0
54:            2,490          429            2,061          0
55:            2,541          397            2,144          0
56:            2,256          328            1,928          0
57:            1,806          277            1,529          0
58:            1,599          258            1,341          0
59:            1,609          275            1,334          0
60:            1,751          293            1,458          0
61:            1,851          268            1,583          0
62:            1,667          204            1,463          0
63:            1,234          153            1,081          0
64:            890            130            760            0
65:            777            135            642            0
66:            880            156            724            0
67:            1,071          169            902            0
68:            1,170          155            1,015          0
69:            1,050          136            914            0
70:            881            142            739            0
71:            916            164            752            0
