ullURuUruulDDDDldRRddllllluuuuurRRlldddlddrrrrruuluuUdddrddllllUUddrrrrurruLddllllluuUdddrrrruruuLDrddllllluuuluurrrrdDrdDrdLLLLrrruuulldRuuullllddddddrUrrrruruulllUrdrrdddlllllUdrrrruruulluuruulDDDDrDrddllllluUluuurrRdrdrdDuulldRurDrddLLLLrrrruuullululllddddddrUrrrrruulDrdLLLLrrruuuluUddrdddlllLdlUrrrrruuuluuruulDDDDldRurrdddlllllUdrrrruruulDrddllllllUrdrrrrruulDrdLLLLLulldRurDrrrruuuluullllddDuuurrrrddrdddlllllluR
Moves: 419
Pushes: 69
States created total: 655,527
Unique visited total: 147,595
Reached duplicates total: 421,933
Created but not reached total: 85,999

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             5              5              0              0
2:             24             15             9              0
3:             65             33             32             0
4:             129            60             68             1
5:             218            99             116            3
6:             320            147            167            6
7:             450            201            235            14
8:             575            251            308            16
9:             685            288            374            23
10:            788            325            437            26
11:            887            352            495            40
12:            998            373            574            51
13:            1,122          428            647            47
14:            1,412          521            824            67
15:            1,857          663            1,104          90
16:            2,457          853            1,468          136
17:            3,217          1,131          1,906          180
18:            4,281          1,499          2,543          239
19:            5,737          1,927          3,393          417
20:            7,349          2,372          4,326          651
21:            9,040          2,810          5,380          850
22:            10,825         3,255          6,422          1,148
23:            12,750         3,750          7,600          1,400
24:            14,689         4,277          8,879          1,533
25:            16,899         4,692          10,272         1,935
26:            18,589         4,957          11,463         2,169
27:            20,259         5,248          12,801         2,210
28:            22,025         5,543          14,046         2,436
29:            23,784         5,697          15,259         2,828
30:            25,060         5,856          16,332         2,872
31:            26,292         5,930          17,269         3,093
32:            26,814         5,889          17,722         3,203
33:            27,016         5,875          18,067         3,074
34:            27,189         5,785          18,133         3,271
35:            26,868         5,553          17,905         3,410
36:            25,575         5,260          17,093         3,222
37:            24,534         5,075          16,476         2,983
38:            23,886         4,903          16,088         2,895
39:            23,576         4,729          15,848         2,999
40:            23,050         4,518          15,484         3,048
41:            22,325         4,305          14,861         3,159
42:            21,358         4,073          14,126         3,159
