uuuullluLuUruLddlDDurrUrruuululllldddlddddrRuuuruuLrddrrruuululllldDrrrDRdrUUdlllddrdrrruruuuulLdddlDldRRluuuruurrddddlDDDrddlUUUU
Moves: 130
Pushes: 24
States created total: 6,589,995
Unique visited total: 1,149,195
Reached duplicates total: 4,570,763
Created but not reached total: 870,037

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             0              0              0              0
2:             0              0              0              0
3:             0              0              0              0
4:             0              0              0              0
5:             0              0              0              0
6:             0              0              0              0
7:             1              1              0              0
8:             0              0              0              0
9:             4              4              0              0
10:            0              0              0              0
11:            11             11             0              0
12:            2              2              0              0
13:            23             21             2              0
14:            12             10             2              0
15:            52             45             7              0
16:            24             20             4              0
17:            87             73             14             0
18:            57             41             16             0
19:            175            126            49             0
20:            119            80             39             0
21:            282            190            92             0
22:            234            146            88             0
23:            478            310            168            0
24:            420            241            179            0
25:            761            451            310            0
26:            737            400            337            0
27:            1,240          677            563            0
28:            1,208          583            625            0
29:            1,889          927            962            0
30:            1,854          821            1,033          0
31:            2,840          1,269          1,571          0
32:            2,644          1,043          1,601          0
33:            4,042          1,594          2,448          0
34:            3,538          1,321          2,217          0
35:            5,545          1,928          3,617          0
36:            4,529          1,555          2,974          0
37:            7,135          2,216          4,919          0
38:            5,452          1,800          3,652          0
39:            8,760          2,450          6,310          0
40:            6,373          2,036          4,337          0
41:            10,259         2,632          7,627          0
42:            7,242          2,240          5,002          0
43:            11,426         2,927          8,499          0
44:            8,140          2,503          5,637          0
45:            12,375         3,234          9,141          0
46:            9,055          2,875          6,180          0
47:            13,476         3,686          9,790          0
48:            10,336         3,337          6,999          0
49:            14,893         4,269          10,624         0
50:            11,961         3,962          7,999          0
51:            17,032         4,966          12,066         0
52:            14,387         4,801          9,586          0
53:            19,650         5,747          13,903         0
54:            17,256         5,612          11,644         0
55:            22,831         6,562          16,269         0
56:            20,747         6,606          14,141         0
57:            26,517         7,492          19,025         0
58:            24,501         7,463          17,038         0
59:            30,618         8,423          22,195         0
60:            28,474         8,402          20,072         0
61:            34,950         9,357          25,593         0
62:            32,511         9,305          23,206         0
63:            39,331         10,231         29,100         0
64:            36,631         10,281         26,350         0
65:            44,128         11,382         32,746         0
66:            40,541         11,097         29,444         0
67:            48,674         12,494         36,180         0
68:            44,858         12,412         32,446         0
69:            54,139         13,864         40,275         0
70:            49,803         13,736         36,067         0
71:            59,777         15,227         44,550         0
72:            55,705         15,274         40,431         0
73:            67,195         16,576         50,619         0
74:            61,800         16,371         45,429         0
75:            74,813         17,784         57,029         0
76:            68,364         17,500         50,864         0
77:            81,762         18,772         62,990         0
78:            74,390         18,266         56,124         0
79:            88,227         19,488         68,739         0
80:            79,802         18,884         60,918         0
81:            93,695         20,208         73,487         0
82:            84,563         19,727         64,836         0
83:            99,110         20,750         78,360         0
84:            88,744         20,314         68,430         0
85:            104,665        21,145         83,520         0
86:            93,727         21,080         72,647         0
87:            109,437        21,442         87,995         0
