Moves: 33
States created total: 1,774
Unique visited total: 723
Reached duplicates total: 872
Created but not reached total: 179

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             1              1              0              0
2:             3              3              0              0
3:             5              3              2              0
4:             7              4              3              0
5:             7              5              2              0
6:             12             6              6              0
7:             10             4              6              0
8:             11             5              6              0
9:             9              4              5              0
10:            9              7              2              0
11:            18             13             5              0
12:            32             19             13             0
13:            45             22             23             0
14:            53             24             29             0
15:            62             30             32             0
16:            74             34             40             0
17:            92             43             49             0
18:            101            41             60             0
19:            113            54             59             0
20:            123            45             76             2
21:            114            49             63             2
22:            123            49             66             8
23:            117            40             71             6
24:            99             37             57             5
25:            82             35             44             3
26:            88             40             44             4
27:            93             32             50             11
28:            82             24             27             31
29:            62             20             14             28
30:            53             16             11             26
31:            43             9              5              29
32:            22             3              2              17
33:            8              1              0              7
