ullluuuLUllDlldddrRRRlllluuurrDulldddrrrrRuuulullddDuuurrdrdddRRRllluuululldlldddrRRlddrrrruurrRRllllddlllluurRlluuuurrdLuuurDDllDlldddrrddrrrruurrrrRRllllllddlllluurrRRRllllllluuurrDulldddrrrrruuuLullddDuuurrdrdddrrRllluuulLrrdddrrrRlllluuulullDlldddrRRRlllluuurruruulDrddllldddrrddrrrruurrrRRurDllllllddlllluurrRuuulllDDuulldddrRuuurrrdddRRlddlllluuRlddrrrruurRRRRdRUdRluluRdRlllllllddlllluurRlluuuruulDDlldddrrrrRuuulllDurrrdddRluuullldDuurrrdddrRlluuullllldddrRddrrrruurRllddlllluuRlddrrrruurrRRllllddlllluurRllddrrrruurrrrRurDuRdlllllllddlllluurrRRllllllulldRuruurrrrrdddrRlluuulllllddldRRRRlddrrrruurRRRRdRluRllllllddlllluurRRRRRRRRdrUluR
Moves: 644
Pushes: 97
States created total: 4,973,248
Unique visited total: 1,215,416
Reached duplicates total: 3,452,920
Created but not reached total: 304,912

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             3              3              0              0
2:             10             8              2              0
3:             26             18             8              0
4:             57             40             17             0
5:             138            89             48             1
6:             338            176            160            2
7:             700            320            373            7
8:             1,223          517            681            25
9:             1,883          733            1,071          79
10:            2,581          948            1,504          129
11:            3,297          1,182          1,976          139
12:            4,122          1,451          2,521          150
13:            5,175          1,789          3,233          153
14:            6,485          2,185          4,133          167
15:            8,112          2,665          5,287          160
16:            10,237         3,267          6,794          176
17:            13,043         4,030          8,785          228
18:            16,542         4,982          11,202         358
19:            20,803         6,152          14,114         537
20:            25,974         7,502          17,672         800
21:            31,847         8,956          21,755         1,136
22:            38,167         10,433         26,075         1,659
23:            44,459         11,907         30,341         2,211
24:            50,522         13,386         34,351         2,785
25:            56,093         14,899         37,987         3,207
26:            61,303         16,383         41,410         3,510
27:            66,351         17,803         45,033         3,515
28:            71,640         19,203         49,067         3,370
29:            77,460         20,671         53,575         3,214
30:            84,024         22,256         58,556         3,212
31:            91,668         23,984         64,362         3,322
32:            100,254        25,765         70,897         3,592
33:            109,354        27,477         77,777         4,100
34:            118,364        29,060         84,515         4,789
35:            127,049        30,572         90,893         5,584
36:            135,077        31,950         96,571         6,556
37:            142,437        33,149         101,833        7,455
38:            148,654        34,075         106,085        8,494
39:            152,749        34,692         108,525        9,532
40:            153,380        34,969         108,499        9,912
41:            151,721        34,956         107,077        9,688
42:            148,645        34,837         105,298        8,510
43:            146,115        34,633         103,615        7,867
44:            143,746        34,431         102,187        7,128
45:            142,327        34,259         101,451        6,617
46:            141,571        33,989         101,127        6,455
47:            141,089        33,614         100,871        6,604
48:            140,331        33,121         100,256        6,954
49:            139,148        32,418         99,124         7,606
50:            136,743        31,580         96,944         8,219
51:            133,224        30,577         93,870         8,777
52:            128,839        29,360         90,147         9,332
53:            123,485        28,023         85,832         9,630
54:            117,003        26,489         80,663         9,851
55:            109,261        24,879         74,744         9,638
56:            100,715        23,271         68,534         8,910
57:            92,142         21,685         62,470         7,987
58:            83,913         20,166         56,762         6,985
59:            76,423         18,685         51,704         6,034
60:            69,661         17,247         47,212         5,202
61:            63,677         15,879         43,284         4,514
62:            58,411         14,574         39,692         4,145
63:            53,625         13,275         36,282         4,068
64:            48,816         12,010         32,840         3,966
65:            44,039         10,826         29,385         3,828
66:            39,330         9,678          25,844         3,808
67:            34,821         8,574          22,429         3,818
68:            30,321         7,580          19,216         3,525
69:            26,185         6,690          16,218         3,277
70:            22,362         5,844          13,545         2,973
71:            18,797         5,112          11,214         2,471
72:            15,696         4,473          9,183          2,040
73:            13,083         3,875          7,518          1,690
74:            10,798         3,336          6,080          1,382
75:            8,944          2,869          4,942          1,133
76:            7,452          2,438          4,093          921
77:            6,236          2,047          3,406          783
78:            5,223          1,704          2,771          748
79:            4,302          1,403          2,209          690
80:            3,481          1,139          1,695          647
81:            2,755          925            1,243          587
82:            2,110          732            875            503
83:            1,544          586            582            376
84:            1,120          470            351            299
85:            802            375            225            202
86:            552            297            131            124
87:            368            239            56             73
88:            231            181            12             38
