uurrDDRdrdLLdlluRRRuulDuuullddRluurrdDrddLUUdddlluRdrUruullDurrdrruLLddldlluRuRRllddrUruurrddLLLdlluRuuRRdLulluurrDDrddrruuLLddLdlluRRRuurrddLruulldRulLuullddRDRddlUruUrrddLLuRdldlluRdrUruullDRddlUruulluurrDDDD
Moves: 210
Pushes: 58
States created total: 64,735
Unique visited total: 16,777
Reached duplicates total: 47,382
Created but not reached total: 576

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             1              1              0              0
2:             1              1              0              0
3:             1              1              0              0
4:             0              0              0              0
5:             3              3              0              0
6:             2              2              0              0
7:             4              4              0              0
8:             2              2              0              0
9:             9              9              0              0
10:            7              7              0              0
11:            9              7              2              0
12:            10             7              3              0
13:            14             12             2              0
14:            18             14             4              0
15:            18             9              9              0
16:            28             19             9              0
17:            39             27             12             0
18:            36             27             9              0
19:            55             39             16             0
20:            65             44             21             0
21:            93             62             31             0
22:            107            73             34             0
23:            155            102            53             0
24:            184            128            56             0
25:            267            159            108            0
26:            332            210            122            0
27:            379            183            196            0
28:            514            277            237            0
29:            522            243            279            0
30:            696            300            396            0
31:            702            293            409            0
32:            837            333            504            0
33:            821            342            479            0
34:            941            342            599            0
35:            1,034          408            626            0
36:            1,115          400            715            0
37:            1,190          437            753            0
38:            1,322          438            884            0
39:            1,261          412            849            0
40:            1,425          359            1,066          0
41:            1,282          332            950            0
42:            1,453          324            1,129          0
43:            1,111          278            833            0
44:            1,337          296            1,041          0
45:            1,045          283            762            0
46:            1,184          255            929            0
47:            1,078          290            788            0
48:            1,117          287            830            0
49:            1,020          320            700            0
50:            1,129          278            851            0
51:            1,060          300            760            0
52:            1,114          248            866            0
53:            1,004          244            760            0
54:            1,074          209            865            0
55:            969            234            735            0
56:            967            179            788            0
57:            891            181            710            0
58:            882            157            725            0
59:            825            161            664            0
60:            776            157            619            0
61:            712            147            565            0
62:            727            164            563            0
63:            733            150            583            0
64:            705            167            538            0
65:            660            138            522            0
66:            669            163            506            0
67:            624            122            502            0
68:            686            139            547            0
69:            578            120            458            0
70:            618            118            500            0
71:            530            91             439            0
72:            540            100            440            0
73:            516            120            396            0
74:            504            101            403            0
75:            511            111            400            0
76:            492            107            385            0
77:            526            122            404            0
78:            474            87             387            0
79:            501            102            399            0
80:            433            83             350            0
81:            454            73             381            0
82:            366            71             295            0
83:            392            44             348            0
84:            340            39             301            0
85:            316            26             290            0
86:            232            35             197            0
87:            242            18             224            0
88:            193            21             172            0
89:            144            16             128            0
90:            126            13             113            0
91:            93             9              84             0
92:            79             13             66             0
93:            66             11             55             0
94:            73             11             62             0
95:            54             6              48             0
96:            58             10             48             0
97:            56             16             40             0
98:            54             13             41             0
99:            46             20             26             0
100:           69             19             50             0
101:           53             21             32             0
102:           76             17             59             0
103:           63             18             45             0
104:           83             17             66             0
105:           63             8              55             0
106:           72             18             54             0
107:           66             6              60             0
108:           72             19             53             0
109:           62             6              56             0
110:           55             16             39             0
111:           48             8              40             0
112:           54             14             40             0
113:           55             17             38             0
114:           54             20             34             0
115:           63             25             38             0
116:           64             25             39             0
117:           104            28             76             0
118:           87             30             57             0
119:           119            36             83             0
120:           98             19             79             0
121:           128            35             93             0
122:           92             26             66             0
123:           151            37             114            0
124:           136            27             109            0
125:           165            36             129            0
126:           126            32             94             0
127:           168            52             116            0
128:           142            47             95             0
129:           217            62             155            0
130:           167            59             108            0
131:           232            71             161            0
132:           221            70             151            0
133:           229            60             169            0
134:           254            67             187            0
135:           272            57             215            0
136:           276            61             215            0
137:           281            53             228            0
138:           257            51             206            0
139:           272            53             219            0
140:           195            46             149            0
141:           268            53             215            0
142:           192            42             150            0
143:           232            54             178            0
144:           180            40             140            0
145:           188            43             145            0
146:           195            34             161            0
