dlllluuuullLLLuLulldRDRRRRRRurDDDuullllllDurrrrrrddDuuulllllldDrddlUUUddlluRUURRRRRRurDDDlddRluuruulllllldlddrUluurrrrrrrddlddrRRRlllluurDuuulllllllddrUluRRRRRRurDDDlddRRRllluurDldRRluuuulllllllluurrDrdrrrrrddddrdrrUdlluluuuulllllulullddrRRRRRRurDDulllllllluRdrrrrrrrdDuullllllluurDrdrrrrrddlddrrRllluurDldRuuuulllllulldRRRRRRurDDDlddrUUUddddrruLdlUluuruUddlddrUdrrdrrULLrrruulDrdLdlluuRlddlluuUUddddrruLrdrruLdlllUrdrruLdlluUUdddrrurrruulDldlLrurrrdLdllllUUdrrurrdLLLdlU
Moves: 471
Pushes: 110
States created total: 350,458
Unique visited total: 106,313
Reached duplicates total: 243,966
Created but not reached total: 179

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             1              1              0              0
2:             1              1              0              0
3:             1              1              0              0
4:             1              1              0              0
5:             1              1              0              0
6:             1              1              0              0
7:             1              1              0              0
8:             3              3              0              0
9:             7              6              1              0
10:            20             13             7              0
11:            37             19             18             0
12:            56             28             28             0
13:            77             37             40             0
14:            93             48             45             0
15:            120            67             53             0
16:            163            94             69             0
17:            229            133            96             0
18:            313            174            139            0
19:            422            226            196            0
20:            571            289            282            0
21:            756            358            398            0
22:            991            438            553            0
23:            1,272          534            738            0
24:            1,606          639            967            0
25:            1,969          758            1,211          0
26:            2,379          887            1,492          0
27:            2,842          1,033          1,809          0
28:            3,379          1,196          2,183          0
29:            3,970          1,365          2,605          0
30:            4,601          1,535          3,066          0
31:            5,274          1,726          3,548          0
32:            6,037          1,937          4,100          0
33:            6,850          2,143          4,707          0
34:            7,679          2,338          5,341          0
35:            8,450          2,505          5,945          0
36:            9,113          2,648          6,465          0
37:            9,618          2,774          6,844          0
38:            10,061         2,914          7,147          0
39:            10,505         3,071          7,434          0
40:            11,030         3,250          7,780          0
41:            11,609         3,421          8,188          0
42:            12,214         3,566          8,648          0
43:            12,719         3,650          9,069          0
44:            13,032         3,652          9,380          0
45:            13,005         3,537          9,468          0
46:            12,614         3,369          9,245          0
47:            11,923         3,172          8,751          0
48:            11,075         2,968          8,107          0
49:            10,178         2,770          7,408          0
50:            9,355          2,588          6,767          0
51:            8,682          2,447          6,235          0
52:            8,201          2,384          5,817          0
53:            8,037          2,395          5,642          0
54:            8,116          2,437          5,679          0
55:            8,350          2,528          5,822          0
56:            8,670          2,593          6,077          0
57:            8,828          2,587          6,241          0
58:            8,568          2,456          6,112          0
59:            7,723          2,209          5,514          0
60:            6,399          1,868          4,531          0
61:            4,952          1,535          3,417          0
62:            3,769          1,245          2,524          0
63:            2,938          1,019          1,919          0
64:            2,365          846            1,519          0
65:            1,925          703            1,222          0
66:            1,584          593            991            0
67:            1,384          544            840            0
68:            1,356          558            798            0
69:            1,466          593            873            0
70:            1,626          637            989            0
71:            1,782          678            1,104          0
72:            1,915          689            1,226          0
73:            1,926          651            1,275          0
74:            1,776          579            1,197          0
75:            1,527          498            1,029          0
76:            1,261          429            832            0
77:            1,052          380            672            0
78:            902            332            570            0
79:            756            281            475            0
80:            607            233            374            0
81:            489            190            299            0
82:            394            152            242            0
83:            302            122            180            0
84:            213            92             121            0
85:            140            70             70             0
86:            97             52             44             1
87:            85             51             34             0
88:            88             50             37             1
89:            88             45             43             0
90:            91             44             46             1
91:            116            54             62             0
92:            148            62             86             0
93:            182            72             110            0
94:            196            71             117            8
95:            189            64             110            15
96:            173            56             97             20
97:            158            52             91             15
98:            146            44             87             15
99:            125            38             72             15
100:           103            31             59             13
101:           80             25             41             14
102:           59             19             28             12
103:           42             14             15             13
104:           31             10             11             10
105:           21             7              5              9
106:           15             5              4              6
107:           10             3              1              6
