Pushes: 39
States created total: 1,253,076
Unique visited total: 384,458
Reached duplicates total: 752,913
Created but not reached total: 115,705

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             7              7              0              0
2:             40             40             0              0
3:             201            117            84             0
4:             535            258            277            0
5:             1,106          507            599            0
6:             2,128          986            1,142          0
7:             4,066          1,841          2,225          0
8:             7,426          3,206          4,220          0
9:             12,384         5,087          7,297          0
10:            18,681         7,408          11,273         0
11:            25,868         9,980          15,888         0
12:            33,528         12,540         20,988         0
13:            40,870         14,760         26,110         0
14:            46,841         16,419         30,422         0
15:            51,020         17,549         33,471         0
16:            53,794         18,256         35,538         0
17:            54,713         18,624         36,089         0
18:            53,926         18,835         35,091         0
19:            52,289         19,138         33,151         0
20:            51,025         19,450         31,513         62
21:            51,604         19,828         31,509         267
22:            55,032         20,236         34,320         476
23:            61,185         20,836         39,649         700
24:            68,359         21,483         45,776         1,100
25:            75,167         21,933         50,307         2,927
26:            80,264         21,582         51,883         6,799
27:            81,884         19,929         48,877         13,078
28:            76,153         16,805         40,955         18,393
29:            62,989         12,922         30,763         19,304
30:            46,750         9,081          20,947         16,722
31:            32,365         6,260          13,847         12,258
32:            22,142         4,151          9,256          8,735
33:            14,713         2,666          5,556          6,491
34:            8,827          1,224          2,757          4,846
35:            3,758          387            892            2,479
36:            1,135          96             199            840
37:            234            23             39             172
38:            51             6              3              42
39:            15             1              0              14
