Pushes: 39
States created total: 5,030,769
Unique visited total: 1,114,815
Reached duplicates total: 3,484,293
Created but not reached total: 431,661

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             4              4              0              0
2:             9              9              0              0
3:             23             16             7              0
4:             52             38             14             0
5:             144            87             57             0
6:             331            165            166            0
7:             646            296            350            0
8:             1,240          571            669            0
9:             2,579          1,155          1,424          0
10:            5,347          2,273          3,074          0
11:            10,587         4,285          6,302          0
12:            19,901         7,705          12,196         0
13:            36,063         13,272         22,784         7
14:            62,260         21,808         40,440         12
15:            102,993        34,287         68,654         52
16:            161,719        50,486         110,673        560
17:            238,668        69,302         166,846        2,520
18:            324,383        87,850         229,411        7,122
19:            408,276        103,727        290,830        13,719
20:            476,540        112,843        338,386        25,311
21:            516,132        115,240        366,256        34,636
22:            522,811        109,809        370,146        42,856
23:            495,422        98,333         348,764        48,325
24:            438,320        82,265         305,110        50,945
25:            363,585        65,007         249,617        48,961
26:            282,879        47,830         191,457        43,592
27:            205,553        33,285         137,726        34,542
28:            140,827        22,001         93,951         24,875
29:            92,567         13,891         59,531         19,145
30:            56,978         8,218          34,844         13,916
31:            32,764         4,609          18,907         9,248
32:            17,348         2,397          9,699          5,252
33:            8,518          1,097          4,024          3,397
34:            3,521          421            1,388          1,712
35:            1,215          174            481            560
36:            442            45             95             302
37:            115            10             14             91
38:            4              2              0              2
39:            2              1              0              1
