dlLrruullDDuurrurrrruuulllllllldddddlddrUUUUUddddRluuuuUdddddrRuurrddLLLruurrurrrruuulllllllulldRRRRRRRRllllllldddddlddrUrruurrurrrrrruuuullDurrddddlllllldddllllUdrruurrurrrrrruuuulldDuurrddddlllllldddlllluUUdddrruurruullDurrddddlllluuuUUdddddrrrruuuulldDDurrurrrrrruuuullddDuuurrddddlLLLullddddlLLruuuurrrrdrruuulllllllulldRRRRRRRRllllllldddddlddrUUUddrruuuurrrrdrrrruuuullDurrddddllllullddddlllluuUUUdddddrruuuurrrrdrrrruuuulldlllllllulldRRRRRRlllllddddddrruuuurrrrdrrrruuuulldDuurrddddllllLullDurrdLrrrrrruuuullddDuuurrddddlLLLullddddlllluuuuuurrrrrRRlllllllddddddrrrddlUruLuuuurrrrdrrrruuuullDDuurrddddllllullddddllLruuuurrrrdrrrruuuulldlllllllldddddlddrUUUUUUdddddrruuuurrrrdrrrruuuulldlllllllulldRRlddddddrruuuurrrrdLulDrrrrrruuuullddDuuurrddddlLLLullllddddlluuuuuurRRRRRRlllllllddddddrruuuurrrrdrrrruuuullDurrddddllllulldRulllddddlluuuuuurrrrrrrrDullllllllddddddrruuuRurrdRullldRurrdRRllulldlldddlluuuuuurrrrrrrrdDuullllllllddddddrruuurrRRlllldddrruUddlluuurRlldRurRlldlddrruUluR
Moves: 986
Pushes: 112
States created total: 3,607,275
Unique visited total: 897,700
Reached duplicates total: 2,571,383
Created but not reached total: 138,192

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             5              5              0              0
2:             20             20             0              0
3:             61             41             20             0
4:             81             57             24             0
5:             129            85             44             0
6:             182            115            67             0
7:             264            152            112            0
8:             348            194            154            0
9:             466            267            199            0
10:            730            381            349            0
11:            1,208          539            662            7
12:            1,850          717            1,128          5
13:            2,484          872            1,603          9
14:            2,917          1,003          1,911          3
15:            3,481          1,163          2,317          1
16:            4,146          1,340          2,805          1
17:            4,789          1,512          3,275          2
18:            5,306          1,685          3,619          2
19:            5,911          1,940          3,969          2
20:            6,952          2,376          4,573          3
21:            8,846          3,117          5,717          12
22:            12,060         4,283          7,716          61
23:            17,012         5,886          10,983         143
24:            23,398         7,742          15,397         259
25:            30,328         9,630          20,298         400
26:            36,666         11,332         24,891         443
27:            42,158         12,712         28,972         474
28:            45,998         13,643         31,918         437
29:            48,540         14,355         33,788         397
30:            50,792         14,959         35,449         384
31:            53,244         15,496         37,308         440
32:            55,488         15,773         39,186         529
33:            56,754         15,772         40,376         606
34:            56,954         15,550         40,735         669
35:            56,682         15,215         40,750         717
36:            56,184         14,836         40,551         797
37:            56,165         14,694         40,614         857
38:            57,020         14,783         41,302         935
39:            59,602         15,408         43,145         1,049
40:            64,654         16,667         46,861         1,126
41:            72,895         18,783         52,856         1,256
42:            84,030         21,577         60,949         1,504
43:            96,950         24,648         70,479         1,823
44:            108,819        27,385         79,281         2,153
45:            117,514        29,440         85,711         2,363
46:            122,494        30,557         89,307         2,630
47:            123,822        30,736         90,305         2,781
