rrruuuuruuLLLDllluururrDulldRllddrrURRRlldlddrUluurrrurDDDrdLulDDDDuuuuruulllldlluururrDulldlddrruRRRurDDDlddddrdLLLurruuuurrdLuuuulLdlldlluururrDrrrdddlDDDDrdLuuuuuruuulllulldRdRRurrddddlddddLuruuuuruuulldlluurDrdRurDDDrdLulDDDuuuruuulllldRRurrddddlddDrdLuuuuuruuulldllddrUluurrdRurDDuulllldRurrrddDrdLuuuullldRurrdddlDDDDuuuuruuulldRurDDDlddddrddlUruLuuuurrdLulDDDDrddlUUUUddLLrruuUdddllulldRRRlllddrrURRlldlluRuRlddrUrrdrU
Moves: 425
Pushes: 94
States created total: 1,020,035
Unique visited total: 268,361
Reached duplicates total: 748,732
Created but not reached total: 2,942

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             1              1              0              0
2:             1              1              0              0
3:             1              1              0              0
4:             1              1              0              0
5:             2              2              0              0
6:             8              6              2              0
7:             19             14             5              0
8:             37             26             11             0
9:             70             48             22             0
10:            155            86             69             0
11:            311            141            170            0
12:            470            184            286            0
13:            637            224            413            0
14:            749            268            481            0
15:            930            326            604            0
16:            1,144          389            755            0
17:            1,415          477            938            0
18:            1,814          589            1,225          0
19:            2,326          748            1,578          0
20:            2,905          935            1,970          0
21:            3,682          1,163          2,519          0
22:            4,617          1,443          3,174          0
23:            5,830          1,799          4,031          0
24:            7,289          2,227          5,062          0
25:            9,121          2,687          6,434          0
26:            10,967         3,138          7,829          0
27:            12,761         3,575          9,186          0
28:            14,486         3,982          10,504         0
29:            16,266         4,387          11,879         0
30:            18,098         4,836          13,262         0
31:            20,112         5,297          14,815         0
32:            22,025         5,680          16,345         0
33:            23,731         5,992          17,739         0
34:            25,006         6,289          18,717         0
35:            26,293         6,559          19,734         0
36:            27,451         6,813          20,638         0
37:            28,752         7,162          21,590         0
38:            30,491         7,646          22,845         0
39:            32,829         8,149          24,680         0
40:            34,618         8,544          26,074         0
41:            36,098         8,790          27,307         1
42:            36,692         8,776          27,916         0
43:            36,260         8,550          27,709         1
44:            34,772         8,150          26,620         2
45:            32,819         7,738          25,080         1
46:            30,485         7,310          23,175         0
47:            28,336         6,927          21,409         0
48:            26,115         6,514          19,601         0
49:            23,990         6,122          17,868         0
50:            22,069         5,755          16,314         0
51:            20,551         5,506          15,045         0
52:            19,817         5,499          14,318         0
53:            20,259         5,752          14,507         0
54:            21,473         6,128          15,345         0
55:            23,083         6,462          16,621         0
56:            24,168         6,535          17,633         0
57:            24,031         6,321          17,710         0
58:            22,514         5,772          16,742         0
59:            19,808         5,049          14,759         0
60:            16,503         4,329          12,174         0
61:            13,416         3,732          9,684          0
62:            10,970         3,202          7,768          0
63:            9,034          2,706          6,315          13
64:            7,334          2,262          5,039          33
65:            5,925          1,923          3,961          41
66:            4,951          1,678          3,256          17
67:            4,314          1,517          2,789          8
68:            3,784          1,404          2,380          0
69:            3,585          1,384          2,201          0
70:            3,792          1,471          2,321          0
71:            4,544          1,619          2,925          0
72:            5,365          1,719          3,646          0
73:            5,801          1,716          4,085          0
74:            5,696          1,599          4,091          6
75:            5,207          1,436          3,721          50
76:            4,496          1,220          3,081          195
77:            3,714          999            2,338          377
78:            2,936          755            1,644          537
79:            2,124          533            1,112          479
80:            1,426          358            746            322
81:            883            238            478            167
82:            551            170            312            69
83:            380            131            223            26
84:            328            106            198            24
85:            281            94             172            15
86:            264            91             151            22
87:            248            97             135            16
88:            296            111            152            33
89:            345            112            162            71
90:            338            85             122            131
91:            244            46             61             137
92:            132            19             23             90
93:            50             6              1              43
94:            16             1              0              15

 #####
##   ####
#  $$$  #
# #   $ #
#   $## ##
###  #.  #
  #  #   #
 ##### ###
 #   # ##
 # @....#
 #      #
 #   #  #
 ########

 #####
##   ####
