rrdrrrrrddrrrrrrrrrruulDrdLLLLLLLLLdlUUUruulDrdLLLrrddrrrrUdlllluullLLLulllddrrUruLrdrrrrrddrrrrrruRRdrruulDrdLLLLLLLLLdlUUUlllllulLrrdrrrrrruulDrdLLLLrrrddrrrurUddlllluulllLrrrrddrrrurRluUluRRdrruruulldDrdLLulDDDrdLLLLdlUUUllllLuullllddrdrrUrrrrrrruulDrdLLLLrrrddrrrurrRRRdrruulDldlllllllluulllLrrrrddrrrurrrrrrrdLLLLLLLLLdlUUUllllLuLullDurrdLulldddrrrUrrrrrrruulDrdLLLLLLuulldRullldddrrrUdllluuurrrrDulllldddrrruRRRRllluulldRdrrrrRRlllllluurDldRRRRllluulllldRRRdrrrrRllllluurDldRRlldllUdrrurrRlluulllldRurrrddrrRllluullldRRurDldRRR
Moves: 533
Pushes: 131
States created total: 463,321
Unique visited total: 168,313
Reached duplicates total: 294,910
Created but not reached total: 98

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             5              5              0              0
2:             17             12             5              0
3:             42             23             19             0
4:             69             34             35             0
5:             102            50             52             0
6:             144            71             73             0
7:             225            103            122            0
8:             319            143            176            0
9:             439            198            241            0
10:            591            259            332            0
11:            795            328            467            0
12:            1,046          414            632            0
13:            1,399          513            886            0
14:            1,764          629            1,135          0
15:            2,201          745            1,456          0
16:            2,616          863            1,753          0
17:            3,027          981            2,046          0
18:            3,401          1,095          2,306          0
19:            3,748          1,222          2,526          0
20:            4,072          1,356          2,716          0
21:            4,455          1,492          2,963          0
22:            4,840          1,626          3,214          0
23:            5,348          1,773          3,575          0
24:            5,856          1,925          3,931          0
25:            6,371          2,087          4,284          0
26:            6,767          2,241          4,526          0
27:            7,179          2,388          4,791          0
28:            7,579          2,518          5,061          0
29:            8,006          2,651          5,355          0
30:            8,339          2,787          5,552          0
31:            8,714          2,918          5,796          0
32:            9,061          3,025          6,036          0
33:            9,484          3,149          6,335          0
34:            9,891          3,269          6,622          0
35:            10,223         3,381          6,842          0
36:            10,409         3,461          6,948          0
37:            10,532         3,531          7,001          0
38:            10,674         3,614          7,060          0
