Pushes: 26
States created total: 907
Unique visited total: 522
Reached duplicates total: 313
Created but not reached total: 72

Depth          Created        Unique         Duplicates     Unknown (not reached)
0:             1              1              0              0
1:             2              2              0              0
2:             3              3              0              0
3:             4              4              0              0
4:             7              7              0              0
5:             6              5              1              0
6:             13             11             2              0
7:             32             19             11             2
8:             47             24             17             6
9:             38             24             14             0
10:            34             26             7              1
11:            42             30             9              3
12:            54             34             17             3
13:            61             40             20             1
14:            64             38             19             7
15:            55             39             14             2
16:            56             39             17             0
17:            67             43             22             2
18:            91             46             35             10
19:            115            37             57             21
20:            64             22             35             7
21:            27             10             13             4
22:            10             7              1              2
23:            7              6              1              0
24:            4              3              1              0
25:            1              1              0              0
26:            2              1              0              1
